顧客ID,生年月日,性別,携帯TEL,自宅TEL,携帯メール,PCメール,職業
"000112093","19820210","女","有","無","無","有","会社員"
"000121059","19830806","女","有","有","有","有","会社員"
"000321123","19800804","女","有","有","無","有","会社員"
"000331001","19691017","女","有","有","無","有","会社員"
"000431039","19650920","男","有","無","無","有","会社員"
"000512107","19731208","男","有","有","有","有","会社員"
"000612072","19640206","女","無","有","無","有","会社員"
"000651028","19790601","女","有","有","無","有","主婦"
"000651042","19850927","女","有","有","有","有","会社員"
"000711087","19771213","女","有","有","無","有","会社員"
"000721111","19801229","女","有","有","無","有","会社員"
"000741001","19830327","女","有","無","無","有","主婦"
"000751046","19700410","女","有","無","無","有","主婦"
"000812016","19640728","女","有","有","無","有","主婦"
"001110167","19591215","女","有","有","有","有","会社員"
"001120290","19740808","女","有","無","無","有","会社員"
"001120350","19660113","女","有","有","無","有","主婦"
"001150376","19730711","女","有","無","無","有","会社員"
"001150435","19650916","女","有","有","無","有","自営業"
"001310100","19740202","女","有","無","有","無","会社員"
"001321014","19720311","女","有","有","無","有","会社員"
"001511020","19601211","女","有","有","有","有",""
"001730012","19681111","女","有","有","有","有","その他"
"001811022","19730903","女","有","無","有","有","会社員"
"002110094","19720707","女","有","有","有","有","会社員"
"002110175","19520102","女","有","有","無","有","主婦"
"002112136","19760912","女","有","有","有","無","その他"
"002112528","19710723","男","有","有","無","有","会社員"
"002112548","19700625","女","有","無","無","有","会社員"
"002112659","19861117","男","有","無","無","有",""
"002112660","19940314","女","有","無","無","有",""
"002112676","20011017","女","有","有","有","有","学生"
"002120096","19710409","女","有","有","有","無","会社員"
"002120206","19690626","女","有","有","無","有","会社員"
"002121269","19661215","女","有","無","有","無","主婦"
"002121295","19670602","女","有","無","無","有","会社員"
"002122338","19820821","女","有","無","有","無","会社員"
"002122348","19740820","女","有","有","有","有","会社員"
"002122370","19770214","女","有","無","有","無","その他"
"002122607","19701001","女","有","有","有","無",""
"002122651","19621031","女","有","無","無","有","会社員"
"002122737","19641001","女","有","無","無","有","主婦"
"002122857","19810807","女","有","無","無","有","会社員"
"002122874","19901025","女","有","無","有","無","会社員"
"002122990","19930503","男","有","無","無","有","会社員"
"002123168","19801128","男","有","無","無","有","会社員"
"002123189","19830919","女","有","無","無","有","会社員"
"002123192","19861106","女","有","無","有","無","その他"
"002123228","19750923","女","有","無","無","有",""
"002123244","19910704","女","有","無","無","有","会社員"
